"Редактирование любых моделей, созданных в СУМ и в СУРМ",+/+,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУМ",+/-,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУРМ",-/+,,,,,,,,,,,,,,,,,,,,
Редактирование недоступно,-/-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Название атрибута в СУРМ,Источник СУМ,"Бизнес-заказчик (Владелец модели)  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель Вадилации, Валидатор для моделей, созданных в СУМ/созданных в СУРМ","Руководитель DE, DE  для моделей, созданных в СУМ/созданных в СУРМ","DS_Lead для моделей, созданных в СУМ/созданных в СУРМ","DS  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель ModelOps,  ModelOps для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  стрима для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  (штабная) для моделей, созданных в СУМ/созданных в СУРМ",Доступен ли для редактирования в СУРМ,Реализованный алгоритм синхронизации,Целевой алгоритм синхронизации,,,,,,,,,
Основные источники данных,+,-/+,-/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Первоначальное значение синхронизируется из СУМ в СУРМ для моделей, созданных в СУМ
Редактированное значение в СУРМ НЕ синхронизируется в СУМ.
Редактированное значение в СУМ синхронизируется в СУРМ.",,,,,,,,,
Целевая переменная,+,-/+,-/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Первоначальное значение синхронизируется из СУМ в СУРМ для моделей, созданных в СУМ
Редактированное значение в СУРМ НЕ синхронизируется в СУМ.
Редактированное значение в СУМ синхронизируется в СУРМ.",,,,,,,,,
Метод Калибровки,-,-/+,-/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Отчет по разработке,+,-/+,-/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,"Первоначальное значение синхронизируется из СУМ в СУРМ для моделей, созданных в СУМ
Редактированное значение в СУРМ НЕ синхронизируется в СУМ.
Редактированное значение в СУМ синхронизируется в СУРМ.",,,,,,,,,
Название и версия ИТ системы рейтингования,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Версия ИТ реализации,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Ответственное подразделение и руководитель проекта внедрения ИТ реализации,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата внедрения в промышленную эксплуатацию ИТ реализации,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Протокол ПСИ,+,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
"Подразделение, проводившее валидацию",-,-/-,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
